serial,title,original_name,filename,location,type,affiliation,region_bucket,hiring_priority,website
102,Muralidhar Girls' College,Muralidhar Girls' College,muralidhar-girls-college.md,"Gariahat Road, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://muralidhargirlscollege.ac.in
103,Naba Ballygunge Mahavidyalaya,Naba Ballygunge Mahavidyalaya,naba-ballygunge-mahavidyalaya.md,"Bosepukur, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.nbmahavidyalaya.in
104,Netaji Nagar College,Netaji Nagar College,netaji-nagar-college.md,"Regent Estate, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://netajinagarcollege.ac.in
105,Netaji Nagar College for Women,Netaji Nagar College for Women,netaji-nagar-college-for-women.md,"Regent Estate, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.netajinagarcollegeforwomen.in
106,Netaji Nagar Day College,Netaji Nagar Day College,netaji-nagar-day-college.md,"Regent Estate, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.netajinagardaycollege.org
107,New Alipore College,New Alipore College,new-alipore-college.md,"New Alipore, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://newaliporecollege.ac.in
108,NIHT Digital Marketing,NIHT Digital Marketing,niht-digital-marketing.md,"Bhawanipore / Ultadanga / Kolkata campuses, Kolkata district, West Bengal",Digital Marketing Training Institute,Information to be updated,Kolkata and outskirts,Very High,https://www.nihtdigitalmarketing.com
109,NSHM Knowledge Campus Kolkata,NSHM Knowledge Campus Kolkata,nshm-knowledge-campus-kolkata.md,"Behala / B.L. Saha Road, Kolkata district, West Bengal",Professional College / Management / IT / Media,Information to be updated,Kolkata and outskirts,High,https://www.nshm.com
110,Prafulla Chandra College,Prafulla Chandra College,prafulla-chandra-college.md,"Gariahat/Golpark, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.prafullachandracollege.ac.in
111,Presidency University,"Presidency University, Kolkata",presidency-university.md,"College Street / New Town, Kolkata district, West Bengal",University,Autonomous,Kolkata and outskirts,Medium,https://www.presiuniv.ac.in
112,Rabindra Bharati University,Rabindra Bharati University,rabindra-bharati-university.md,"B.T. Road / Jorasanko, Kolkata district, West Bengal",University / Arts / Fine Arts,Autonomous,Kolkata and outskirts,Medium,https://rbu.ac.in
113,Rammohan College,Rammohan College,rammohan-college.md,"Raja Rammohan Sarani, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.rammohancollege.ac.in
114,Rani Birla Girls' College,Rani Birla Girls' College,rani-birla-girls-college.md,"Shakespeare Sarani, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.rbgc.in
115,RCC Institute of Information Technology,RCC Institute of Information Technology (RCCIIT),rcc-institute-of-information-technology.md,"Beleghata / Canal South Road, Kolkata district, West Bengal",Engineering College,Information to be updated,Kolkata and outskirts,High,https://rcciit.org
116,Savitri Girls' College,Savitri Girls' College,savitri-girls-college.md,"Muktaram Babu Street, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://savitri-girls-college.edu.in
117,Scottish Church College,Scottish Church College,scottish-church-college.md,"Urquhart Square, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.scottishchurch.ac.in
118,Seth Anandaram Jaipuria College,Seth Anandaram Jaipuria College,seth-anandaram-jaipuria-college.md,"Raja Nabakrishna Street, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://sajaipuriacollege.ac.in
119,Seth Soorajmull Jalan Girls' College,Seth Soorajmull Jalan Girls' College,seth-soorajmull-jalan-girls-college.md,"College Street, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://ssjalangirlscollege.org.in
120,Shri Shikshayatan College,Shri Shikshayatan College,shri-shikshayatan-college.md,"Lord Sinha Road, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://shrishikshayatancollege.org
121,Shyamaprasad College,Shyamaprasad College,shyamaprasad-college.md,"Asutosh Mukherjee Road, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.syamaprasadcollege.in
122,Sir Gurudas Mahavidyalaya,Sir Gurudas Mahavidyalaya,sir-gurudas-mahavidyalaya.md,"Ultadanga, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.sirgurudasmahavidyalaya.ac.in
123,Sister Nibedita Govt. General Degree College for Girls,Sister Nibedita Govt. General Degree College for Girls,sister-nibedita-govt-general-degree-college-for-girls.md,"Hastings House, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.snggdcg.ac.in
124,Sivanath Sastri College,Sivanath Sastri College,sivanath-sastri-college.md,"Gariahat/Golpark, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://sivanathsastricollege.org
125,South Calcutta Girls' College,South Calcutta Girls' College,south-calcutta-girls-college.md,"Sarat Bose Road, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://southcalcuttagirlscollege.com
126,St. Paul's Cathedral Mission College,St. Paul's Cathedral Mission College,st-paul-s-cathedral-mission-college.md,"Raja Rammohan Sarani, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://stpaulscmcollege.ac.in
127,St. Thomas' College of Engineering & Technology,St. Thomas' College of Engineering & Technology,st-thomas-college-of-engineering-and-technology.md,"Kidderpore / Diamond Harbour Road, Kolkata district, West Bengal",Engineering College,Information to be updated,Kolkata and outskirts,High,https://stcet.ac.in
